Date,Game,Team,Opponent,Min,Pts,FG,FG%,2P,2P%,3P,3P%,FT,FT%,OREB,DREB,REB,AST,PF,TO,STL,BLK,PM,EFF
20230828,GroupG,BRA,ESP,200,78,28/65,43.10%,19/31,61.30%,9/34,26.50%,13/16,81.20%,14,24,38,17,22,16,0,4,-18,70
20230828,GroupG,ESP,BRA,200,96,32/62,51.60%,22/38,57.90%,10/24,41.70%,22/30,73.30%,12,24,36,27,21,8,12,2,18,123
20230830,GroupG,CIV,BRA,200,77,24/65,36.90%,17/42,40.50%,7/23,30.40%,22/25,88.00%,13,22,35,14,21,12,9,4,-12,79
20230830,GroupG,BRA,CIV,200,89,26/62,41.90%,12/30,40%,14/32,43.80%,23/25,92%,14,29,43,27,24,13,5,3,12,113
20230830,GroupG,IRI,ESP,200,65,23/64,35.90%,17/41,41.50%,6/23,26.10%,13/17,76.50%,11,20,31,19,13,8,7,1,-20,70
20230830,GroupG,ESP,IRI,200,85,35/67,52.20%,26/41,63.40%,9/26,34.60%,6/9,66.70%,13,30,43,32,18,11,3,7,20,121
20230825,GroupH,LAT,LBN,200,109,42/71,59.20%,24/36,66.70%,18/35,51.40%,7/11,63.60%,11,23,34,34,13,5,6,1,39,145
20230825,GroupH,LBN,LAT,200,70,27/61,44.30%,20/37,54.10%,7/24,29.20%,9/11,81.80%,10,17,27,16,16,14,3,0,-39,61
20230825,GroupH,CAN,FRA,200,95,32/73,43.80%,21/37,56.80%,11/36,30.60%,20/27,74.10%,15,30,45,20,17,10,9,2,30,111
20230825,GroupH,FRA,CAN,200,65,25/60,41.70%,19/32,59.40%,6/28,21.40%,9/13,69.20%,6,29,35,14,24,17,8,4,-30,69
20230827,GroupH,LBN,CAN,200,73,30/62,48.40%,22/43,51.20%,8/19,42.10%,5/5,100%,8,10,18,19,18,22,12,1,-55,67
20230827,GroupH,CAN,LBN,200,128,50/70,71.40%,32/40,80%,18/30,60%,10/14,71.40%,12,24,36,44,11,15,13,1,55,182
20230827,GroupH,FRA,LAT,200,86,26/50,52%,12/23,52.20%,14/27,51.90%,20/24,83.30%,10,21,31,23,19,20,6,3,-2,97
20230827,GroupH,LAT,FRA,200,88,32/61,52.50%,18/26,69.20%,14/35,40%,10/16,62.50%,10,15,25,20,21,14,13,2,2,95
20230829,GroupH,LBN,FRA,200,79,31/63,49.20%,25/43,58.10%,6/20,30%,11/17,64.70%,13,19,32,15,23,18,10,2,-6,83
20230829,GroupH,FRA,LBN,200,85,30/64,46.90%,21/31,67.70%,9/33,27.30%,16/20,80%,16,20,36,23,16,16,10,6,6,101
20230829,GroupH,CAN,LAT,200,101,37/74,50%,21/35,60%,16/39,41%,11/22,50%,17,27,44,23,19,9,10,1,26,116
20230829,GroupH,LAT,CAN,200,75,27/63,42.90%,17/27,63%,10/36,27.80%,11/12,91.70%,8,23,31,23,23,15,5,3,-26,82
20230901,GroupI,SRB,ITA,200,76,21/58,36.20%,14/27,51.90%,7/31,22.60%,27/32,84.40%,9,25,34,15,19,11,7,4,-2,81
20230901,GroupI,ITA,SRB,200,78,28/60,46.70%,17/39,43.60%,11/21,52.40%,11/15,73.30%,8,28,36,19,27,15,3,1,2,85
20230901,GroupI,DOM,PUR,200,97,34/73,46.60%,23/45,51.10%,11/28,39.30%,18/23,78.30%,11,26,37,22,23,9,5,2,-5,105
20230901,GroupI,PUR,DOM,200,102,34/61,55.70%,23/35,65.70%,11/26,42.30%,23/29,79.30%,5,29,34,20,21,14,7,4,5,118
20230903,GroupI,ITA,PUR,200,73,30/72,41.70%,21/38,55.30%,9/34,26.50%,4/8,50%,19,29,48,20,16,9,6,2,16,92
20230903,GroupI,PUR,ITA,200,57,20/54,37%,14/28,50%,6/26,23.10%,11/14,78.60%,5,24,29,14,13,11,6,3,-16,56
20230903,GroupI,DOM,SRB,200,79,27/63,42.90%,16/34,47.10%,11/29,37.90%,14/14,100%,8,17,25,17,20,21,5,2,-33,69
20230903,GroupI,SRB,DOM,200,112,43/66,65.20%,35/41,85.40%,8/25,32%,18/25,72%,5,27,32,30,15,12,11,3,33,146
20230901,GroupJ,USA,MNE,200,85,30/63,47.60%,25/44,56.80%,5/19,26.30%,20/30,66.70%,8,23,31,19,19,12,14,2,12,94
20230901,GroupJ,MNE,USA,200,73,30/75,40%,25/55,45.50%,5/20,25%,8/12,66.70%,23,26,49,17,24,22,5,3,-12,75
20230901,GroupJ,LTU,GRE,200,92,33/53,62.30%,18/29,62.10%,15/24,62.50%,11/13,84.60%,7,27,34,25,18,13,3,5,25,121
20230901,GroupJ,GRE,LTU,200,67,23/64,35.90%,13/33,39.40%,10/31,32.30%,11/13,84.60%,11,15,26,11,18,9,7,1,-25,62
20230903,GroupJ,GRE,MNE,200,69,26/62,41.90%,18/32,56.20%,8/30,26.70%,9/13,69.20%,11,21,32,18,23,14,5,3,-4,67
20230903,GroupJ,MNE,GRE,200,73,28/62,45.20%,25/45,55.60%,3/17,17.60%,14/20,70%,13,28,41,20,23,12,8,0,4,89
20230903,GroupJ,USA,LTU,200,104,39/73,53.40%,28/44,63.60%,11/29,37.90%,15/19,78.90%,9,18,27,26,27,12,8,7,-6,120
20230903,GroupJ,LTU,USA,200,110,38/72,52.80%,24/47,51.10%,14/25,56%,20/25,80%,18,25,43,23,25,19,7,2,6,124
20230901,GroupK,GER,GEO,200,100,33/63,52.40%,13/28,46.40%,20/35,57.10%,14/25,56%,9,27,36,33,22,12,10,2,27,126
20230901,GroupK,GEO,GER,200,73,26/62,41.90%,19/36,52.80%,7/26,26.90%,14/18,77.80%,9,24,33,18,20,18,5,3,-27,69
20230901,GroupK,SLO,AUS,200,91,32/68,47.10%,19/26,73.10%,13/42,31%,14/17,82.40%,9,30,39,23,26,12,7,2,11,111
20230901,GroupK,AUS,SLO,200,80,27/62,43.50%,19/38,50%,8/24,33.30%,18/23,78.30%,6,25,31,15,21,13,6,2,-11,79
20230903,GroupK,AUS,GEO,200,100,35/66,53%,21/35,60%,14/31,45.20%,16/20,80%,7,26,33,29,18,15,6,3,16,117
20230903,GroupK,GEO,AUS,200,84,31/71,43.70%,25/51,49%,6/20,30%,16/18,88.90%,15,24,39,21,24,16,9,3,-16,93
20230903,GroupK,GER,SLO,200,100,35/64,54.70%,20/33,60.60%,15/31,48.40%,15/17,88.20%,9,30,39,26,20,14,9,3,29,131
20230903,GroupK,SLO,GER,200,71,25/61,41%,18/29,62.10%,7/32,21.90%,14/21,66.70%,8,20,28,19,20,13,8,1,-29,67
